Time	Mean	Median	Upper	Lower
1693.8342772902615	3.9868345264543734	4.0	4.0	4.0
1689.8137128123635	3.9819797580844236	4.0	4.0	4.0
1685.7931483344655	3.975808442359911	4.0	4.0	4.0
1681.7725838565675	3.966839463506953	4.0	4.0	3.0
1677.7520193786695	3.956471653089772	4.0	4.0	3.0
1673.7314549007715	3.944951863737349	4.0	4.0	3.0
1669.7108904228735	3.9288241586439563	4.0	4.0	3.0
1665.6903259449755	3.9099810746317782	4.0	4.0	3.0
1661.6697614670775	3.8889163169587757	4.0	4.0	3.0
1657.6491969891795	3.863408211964124	4.0	4.0	3.0
1653.6286325112815	3.8354315806796677	4.0	4.0	2.0
1649.6080680333835	3.8007899284127378	4.0	4.0	2.0
1645.5875035554855	3.7605529498889165	4.0	4.0	2.0
1641.5669390775874	3.719410845058833	4.0	4.0	2.0
1637.5463745996894	3.6730025508104993	4.0	4.0	2.0
1633.5258101217914	3.624290298691681	4.0	4.0	2.0
1629.5052456438934	3.5676787624454867	4.0	4.0	2.0
1625.4846811659954	3.5076112893935654	4.0	4.0	2.0
1621.4641166880974	3.4467209742450424	4.0	4.0	2.0
