Time	Mean	Median	Upper	Lower
1913.7221544389931	12.206139538711602	12.0	15.0	10.0
1910.9385269242298	12.088204431825195	12.0	15.0	10.0
1908.1548994094665	11.97442544698887	12.0	14.0	10.0
1905.371271894703	11.866407423410077	12.0	14.0	10.0
1902.5876443799398	11.756085015328273	12.0	13.0	9.0
1899.8040168651764	11.641668209781288	12.0	13.0	9.0
1897.020389350413	11.515379709071457	12.0	13.0	8.0
1894.2367618356498	11.383330247104087	12.0	13.0	8.0
1891.4531343208864	11.240581857087012	12.0	13.0	7.0
1888.669506806123	11.082649219184	12.0	13.0	7.0
1885.8858792913597	10.908380141143551	12.0	13.0	6.0
1883.1022517765964	10.7188856654939	12.0	12.0	6.0
1880.318624261833	10.51595580519721	11.0	12.0	5.0
1877.5349967470697	10.29852066744851	11.0	12.0	5.0
1874.7513692323064	10.067876468530748	11.0	12.0	4.0
1871.967741717543	9.819681912639137	11.0	12.0	4.0
1869.1841142027797	9.557270127358393	10.0	12.0	3.0
1866.4004866880164	9.2877600148139	10.0	12.0	3.0
1863.616859173253	9.008764891056108	10.0	12.0	3.0
1860.8332316584897	8.724358578688559	10.0	12.0	3.0
1858.0496041437264	8.436310515811781	9.0	12.0	3.0
1855.265976628963	8.146678188589181	9.0	12.0	3.0
1852.4823491141997	7.857292759706191	8.0	12.0	3.0
1849.6987215994363	7.566899162603131	8.0	12.0	3.0
1846.915094084673	7.281093759644467	7.0	12.0	3.0
1844.1314665699097	7.000226323477975	7.0	12.0	3.0
1841.3478390551463	6.7314157562290395	6.0	12.0	3.0
1838.564211540383	6.469559492212415	6.0	12.0	3.0
1835.7805840256196	6.218237557352427	5.0	12.0	3.0
1832.9969565108563	5.978231796391169	5.0	12.0	3.0
1830.213328996093	5.748575190831842	4.0	12.0	3.0
1827.4297014813296	5.532456844227722	4.0	12.0	3.0
1824.6460739665663	5.33057630187437	4.0	12.0	3.0
1821.862446451803	5.139209513816019	4.0	12.0	3.0
1819.0788189370396	4.963397321153015	3.0	12.0	3.0
1816.2951914222763	4.8011645371684875	3.0	12.0	3.0
1813.511563907513	4.645742032384832	3.0	12.0	3.0
1810.7279363927496	4.501388803160299	3.0	12.0	3.0
1807.9443088779863	4.372322696129869	3.0	12.0	3.0
1805.160681363223	4.249449622451289	3.0	11.0	3.0
1802.3770538484596	4.135732362199864	3.0	11.0	3.0
1799.5934263336962	4.033907371972924	3.0	11.0	3.0
1796.809798818933	3.940209452091435	3.0	11.0	3.0
1794.0261713041696	3.8537950332284017	3.0	11.0	3.0
1791.2425437894062	3.772524329773882	3.0	10.0	3.0
1788.458916274643	3.7014999074131225	3.0	10.0	3.0
1785.6752887598795	3.6336234388823736	3.0	10.0	3.0
1782.8916612451162	3.571940003703475	3.0	10.0	3.0
1780.1080337303529	3.515996954920478	3.0	9.0	3.0
1777.3244062155895	3.4662880892126	3.0	9.0	3.0
1774.5407787008262	3.4196243030265623	3.0	9.0	3.0
1771.7571511860629	3.3763347941485096	3.0	8.0	3.0
1768.9735236712995	3.337756928584655	3.0	8.0	3.0
1766.1898961565362	3.300310680410674	3.0	8.0	3.0
1763.4062686417728	3.265786062588729	3.0	7.0	3.0
1760.6226411270095	3.23580848918791	3.0	7.0	3.0
1757.8390136122462	3.208299899183178	3.0	6.0	3.0
1755.0553860974828	3.1811205069645907	3.0	6.0	3.0
1752.2717585827195	3.1558545768779704	3.0	6.0	3.0
1749.4881310679561	3.1314116412567126	3.0	6.0	2.0
1746.7045035531928	3.1090673415221284	3.0	5.0	2.0
1743.9208760384295	3.0873608624982	3.0	5.0	2.0
